input,target
Size nasıl ulaşabilirim?,Sizinle nasıl irtibat kurabilirim?
Hangisiyle başlayayım?,Ne zaman eve gidecek?
Benimle yer değişir misiniz?,Benimle yerleri değiştirir misin?
Bir seçeneğim var mı?,Başka hangi seçeneklerim var?
Hiç öğretmene güldün mü?,Öğretmene güldün mü hiç?
Durumumuz nedir?,Durumunuz nedir?
Ne zaman arabayı geri vermek zorundayım?,Arabayı ne zaman iade etmeliyim?
O bunu görmek ister mi?,Bunu görmek istiyor musunuz?
Hangisi ile başlayayım?,Nereden başlıyoruz?
"Nasıl, filmi beğendin mi?",Bu filmi nasıl buldun?
Ne zaman varırsın?,Ben nereye başlarım?
Saat kaçta çıkıyoruz?,Eve ne zaman döneceksin?
Sizi böyle düşündüren nedir?,Neden böyle düşünüyorsunuz?
O ne zaman gelir?,Bu ne zaman varacak?
Oraya en iyi şekilde nasıl gidebilirim?,Oraya gitmek için en iyi yol hangisi?
"O, çocuklarını nasıl yetiştiriyor?",Sen çocuklarını nasıl yetiştiriyorsun?
O kitabı nerede aldın?,Bu kitabı nereden satın aldınız?
Bilet ne kadar?,Bilet kaç para?
Bugün kasabaya gitmiyor musun?,Bugün şehre gitmiyor musun?
Dün onun gelmesini ne önledi?,Niçin dün gelmedi?
İstasyona nasıl gideceğimi bana söyler misiniz?,Bana istasyona giden yolu gösterebilir misiniz?
Bana istasyona giden yolu gösterebilir misiniz?,Bana istasyona giden yolu söyler misiniz?
Eve ne zaman gideceksin?,Ne zaman geri geleceksin?
Biraz daha kek ister misin?,Sen başka bir kek dilimi mi istiyorsun?
Bu kitap kimin?,Bu kitabı kimin yazdığına dair bir fikrin var mı?
Neden yorgun değilsin?,Neden yorgun değilsiniz?
Tom'un olanları bilmediğini nasıl biliyorsun?,Tom'un olanları bilmediğini nereden biliyorsun?
Neden onlar onu yaptılar?,Onlar bunu neden yaptı?
"Bekle, burada ne yapıyorsun?","Bekle, neden buradasın?"
Yedin mi zaten?,Yedin mi ki zaten?
Çok yorgun hissediyor musun?,Hâlâ uykun var mı?
Saat kaça kadar açıksınız?,Dükkan ne zaman kapanır?
Hangi okullusun?,Okula nereye gidersin?
Gürcüce biliyor musun?,Gürcüce konuşuyor musun?
Profesörünüz kim?,Senin öğretmenin kim?
Bu senin mi?,O Tom'un mu?
Onu bana neden söylüyorsun?,Bunu bana niçin söylüyorsun?
Süt var mı?,Biraz sütün var mı?
Şarkı söyleyecek misin?,Şarkı söyler misin?
Sizin saatinize göre saat kaç?,Sizin saatinize göre şimdi saat kaç?
"Baba, orada ne yapıyorsun?","Ne yapıyorsun, baba?"
Kahve içer misin?,Biraz kahve alır mısın?
Sözlüğünüzü bana ödünç verir misiniz?,Bana sözlüğünü ödünç verebilir misin?
Tom'unkiler hangisi?,Hangileri Tom'un?
Akşam yemeği saat kaçta servis ediliyor?,Akşam yemeği ne zaman?
Nerede aramaya başlayacağız?,Ne zaman gideceğiz?
Bir şey unutmuyor musun?,Bir şey kaçırmıyor musun?
Bilmek istediğin nedir?,Ne ile ilgileniyorsunuz?
Ne zaman varırsın?,Ne zaman gideceğiz?
"O, odasında ne yapıyordu?",Odasında ne yapıyordu?
Tom'la birlikte ne oldu?,Tom ne yapıyor?
Erkek kardeşime benzediğimi düşünüyor musun?,Sence erkek kardeşime benziyor muyum?
Pencereyi açar mısın?,Pencere açabilir misiniz?
Bugün ne yapacaksınız?,Bugün ne yapmak istiyorsun?
Ben nereye başlarım?,Ne zaman geri döndü?
Herkes geldi mi?,Kimse geldi mi?
Beni arabanızla götürür müsünüz?,Beni götürebilir misin?
Onu nasıl yapacağım?,Onu nasıl yapmamı istiyorsun?
Latince anlıyor musun?,Latince konuşur musunuz?
Ne zaman yemek yiyorsunuz?,Akşam yemeği saat kaçta servis ediliyor?
Bir parça daha kek ister misiniz?,"Bir parça daha pastaya ne dersin, Tom?"
Lütfen bana biraz para ödünç verir misin?,Bana biraz borç para verebilir misin?
Ceket hangi malzemeden yapılmış?,Ceket hangi malzemeden yapılır?
Ne hakkında kıs kıs gülüyorsun?,Neye gülüyorsun?
Ben buna nasıl ulaşacağım?,Size nasıl ulaşabilirim?
O ne zaman gelir?,Ne zaman geleceksin?
"Ve bir şey daha, keman çalıyor musun?","Bu arada, keman çalar mısın?"
Bu akşam nerede yemek yiyeceğiz?,Bu akşam nerede yemeliyiz?
Piyano çalabilir misin?,Piyano çalmayı biliyor mu?
Niçin buradayız?,Burada olmamızın nedeni ne?
Bu adama Tom denildiğinden emin misiniz?,O adamın adının Tom olduğuna emin misin?
Onu hatırlıyor musun?,Beni hatırlıyor musun?
Ne zaman yolculuğa çıkıyorsun?,Hareket saati nedir?
Biri farkı görebilir mi?,Farkı söyler misin?
Onları ne için istiyorsunuz?,Onu ne için yapmak istiyorsun?
Ne zaman ayrılacaksın?,Nereden başlamalıyım?
Size bir taksi çağırmamı ister misiniz?,Sana bir taksi tutayım mı?
Nereden bir bilet alabilirim?,Biletleri nerede alabilirsin?
Hangi yüksekokulda okudunuz?,Hangi üniversiteye gittiniz?
Tom onu nasıl yaptı?,Tom bunu nasıl yapabilir?
Tom ne söylüyor?,Tom'dan bir cevap aldın mı?
Onlara ne denildiğini biliyor musun?,"Onların adı ne, biliyor musun?"
Bu aşk mı?,Bu aşk mıdır?
Tatoeba FM'in frekansı kaç?,Tatoeba FM hangi frekansta?
Ben buradayım. Sohbet etmek istiyor musun?,Benimle konuşmak istedin mi?
Nerelerdeydin Tom?,"Sorun nedir, Tom?"
Kapıyı açık bırakır mısın?,Kapıyı açık bırakır mısınız?
O bir doktor mudur?,Doktor musunuz?
Bir öneri sunabilir miyim?,Bir şey önerebilir miyim?
Ne zaman gidiyoruz?,Ne zaman geri geleceksin?
Tom'a ne oldu?,Tom'la birlikte ne oldu?
Beni hatırlıyor musun?,Beni hatırlıyor musunuz?
Bugün ne yapmak isterdin?,Bugün ne yapacaksın?
Neden bunu yapmak istiyorsun?,O konuda ne istiyorsun?
Sese nasıl dayanıyorsunuz?,Gürültüye dayanabiliyor musun?
Bu seni neden rahatsız ediyor?,O neden seni rahatsız ediyor?
Yani bu cümleyi anlamıyorsun?,"Bu cümleyi anlayamıyorsun, değil mi?"
Her gün koşar mısın?,Her gün koşar mı?
Tom niçin hâlâ daha meşhur?,Tom neden hâlâ popülerliğini koruyor?
Tom ondan daha zeki midir?,Tom senden daha akıllı mı?
Ne zaman eve gidiyorsun?,Saat kaçta eve gidersin?
Demiryolu istasyonu nerede?,Nerede bir otobüse binebilirim?
Senin saatine gör saat kaç?,Sizin saatinize göre şimdi saat kaç?
Akşam yemeğini çoktan yedin mi?,Sabah kahvaltını bitirdin mi?
Nereden başlarız?,"O, ne zaman dönecek?"
İş tecrübeniz var mı?,Onun tecrübesi var mı?
Yeterince yedin mi?,Tok musun?
Yenilebilir mi?,Bu şey yenilebilir mi?
Lütfen şarkı söylemeyi keser misin?,Lütfen şarkı söylemeyi durdurur musunuz?
Telefon numaranızı alabilir miyim?,Lütfen cep telefonu numaranın ne olduğunu bana söyler misin?
Yürüyüşe çıkmak ister misiniz?,Yürüyüş yapmak ister misin?
Çocukluğunuzu hatırlıyor musnuz?,Hatırlıyor musun çocukluğunu?
Bana otuz dolar ödünç verebilir miydin?,Bana otuz papel ödünç verebilir misin?
Bana ondan bahseder misin?,Bana onun hakkında söyleyebilir misin?
"Mary'yle çıktığın doğru mu, Tom?","Hey, Tom, gerçekten Mary'yle çıkıyor musun?"
Elma sevmez misin?,Elma sever misiniz?
Ne zaman gideceğiz?,Saat kaçta yola çıkıyorsun?
Onunla daha önce tanıştın mı?,Zaten onunla tanışıyormuydun?
Hiç rüyalandın mı?,Kamyonu devirdin mi hiç?
"O, okula nasıl gider?",Okula nasıl gidiyorsun?
Buraya mı?,O orada mı?
Bu resimde yanlış olan nedir?,Bu resmin nesi yanlış?
Sözlüğünü ödünç alabilir miyim?,Bana sözlüğünü ödünç verir misin?
Tom bugün onu neden yapmadı?,Bugün neden Tom bunu yapmadı?
Onu nasıl tanıdın?,Onunla ilk olarak nerede tanıştınız?
Havaalanı otobüsüyle havaalanına varmak ne kadar sürer?,Havaalanı otobüsünün havaalanına götürmesi ne kadar sürer?
Biraz daha bira alır mısınız?,Bir bardak daha bira ister misin?
Kimin için oy kullanmam gerekir?,Kimi seçeceğim?
Ne zaman eve gidecek?,Nerede başlayacağız?
Daha önce Kyoto' yu ziyaret etti mi?,Hiç Kyoto'yu gezdin mi?
Bu hafta sonu ne yapacaksın?,Hafta sonu için ne tür planların var?
Bu kariyeri neden seçtin?,Bu kariyeri neden seçtiniz?
Sigara içmiyor musun?,Sigara kullanıyor musun?
Burası kaçıncı kat?,Kaçıncı kat?
Japonya'da ne kadar süre kalacak?,Ne kadar süredir Japonya'daydın?
İçeri gelmiyor musun?,İçeri girmeyecek misin?
Bu araba kimin?,"Bu araba, o kimin?"
Yemeyecek misin?,Yemeyecek misin sen?
Nereden başlamalıyım?,Neyle başlayayım?
Uçağın saat kaçta?,Uçağın ne zaman?
"O, sigara içiyor mu?",Sigara içiyor musun?
Onunla nasıl başa çıkıyorsun?,Onunla nasıl ilgileniyorsun?
Sen John musun?,Sen John'mısın?
"Bir mola verelim, değil mi?",Iyi dinlendin mi?
Bir müzik aleti çalar mısın?,Bir enstrüman çalıyor musun?
Bugün yemekte ne var?,Haftanın hangi günü?
Bu senin sözlüğün kopyası mı?,Bu senin sözlüğün mü?
Giriş ücreti ne kadardır?,Giriş ücreti nedir?
Ne zaman geri dönmesi bekleniliyor?,Hareket saati nedir?
Valilik için adaylığını koyacak mısın?,Valilik için yarışacak mısın?
Giriş ücreti ne kadar?,Bilet ne kadar?
Kahvaltı yapmış mıydın?,Bu sabah kahvaltı yaptın mı?
Bugün ayın kaçı?,Bugün günlerden ne?
Çocuk bölümü nerede?,Çocukların bölümü nerede?
Hedeflerini gerçekleştirdin mi?,Hedeflerine ulaştın mı?
Bunun olmasına nasıl izin verebildin?,Buna nasıl izin verebilirsin?
Ben pencereyi açabilir miyim?,Pencereyi açabilir miyim?
Bu aşk mıdır?,Bu aşk mı?
"Lütfen, müziğin sesini azaltabilir misiniz?",Hepiniz daha az gürültülü olabilir misiniz?
Henüz köpeği besledin mi?,Köpeği besledin mi?
Buna ne için ihtiyacınız var?,Neden bunu yapmak istiyorsun?
Bilgisayarınızı kullanmamın bir sakıncası var mı?,Ben bilgisayarı kullanabilir miyim?
Hangisi en iyi?,Hangisi yakşıdır?
Birisini mi bekliyorsunuz?,Bir şeyi mi bekliyorsun?
Kim sana yardım eder?,Ve kimse sana yardım etmedi mi?
Boş yer var mı?,Bu koltuk ayrıldı mı?
Mavi mi?,Bu mavi mi?
Bir parça daha keke ne dersin?,Biraz daha pasta ister misin?
Ne zaman çıkacaksın?,Hareket saati nedir?
Kısa bir yürüyüş yapmak için dışarı çıkmaya ne dersin?,Biraz temiz hava almak istemez misiniz?
Hâlâ uyanık mısın?,Sen hâlâ uyanık mısın?
Ağlıyor muydun?,Ağlamıyor muydun?
Onun hakkında ne yapacağız?,Onunla ne yapacağız?
İçeriye gelmek ister misiniz?,İçeri girmeyecek misin?
"Tom, Mary'ye ne söyledi?",Tom Mary'ye ne dedi?
Başka birisi cevap verebilir mi?,Cevaplayabilecek herhangi birisi var mı?
Evcil hayvan besliyor musun?,Hiç evcil hayvanın var mı?
Beni niçin aradın?,Neden o beni aradı?
Siz de bizimle gelmek istemez misiniz?,Sen de bizimle birlikte gelecek misin?
Ne zaman geri döndün?,Ne zaman eve gidecek?
Bu koltuk ayrıldı mı?,Bu koltuk dolu mu?
Tom aptal mı?,Tom deli mi?
O orada mı?,O burada mı?
Neden yemiyorsun?,Neden yemiyorsunuz?
Bu ne zaman varacak?,Ne zaman evde olacaksın?
Korkuyor musun?,Ondan korkuyor musun?
Saat kaçta çıkıyoruz?,Ne zaman evde olacaksın?
"Sen Tom'sun, öyle değil mi?","Sen Tom'sun, değil mi?"
Benim için herhangi bir mesaj var mı?,Benim için haberin var mı?
Tom'la birlikte ne oldu?,Tom ne oldu?
Kaçta kalkarsın?,Bugün saat kaçta kalktın?
Tom bunun hakkında seninle konuştu mu?,Tom onu sana söyledi mi?
Ne ile ilgileniyorsunuz?,Ne öğrenmek istiyorsun?
Siz çocuklar ilk kez birbirinizle nasıl tanıştınız?,Onu nerede tanıdın?
Tom onu niçin yaptı?,Tom onu neden yaptı?
Paris'te miydim?,Paris'te miydi?
Neden sadece yanıldığını itiraf etmiyorsun?,Niçin hatanı kabul etmiyorsun?
Mesajıma neden yanıt vermiyorsun?,Neden mesajıma cevap vermiyorsun?
Tom'un bulunması gerekiyor mu?,Tom burada olmak zorunda mı?
Amerika'da hangi diller konuşulur?,Onlar Amerika'da ne konuşuyorlar?
Ödevini yaptın mı?,Ev ödevin hazır mı?
Tom ne cevap verdi?,Tom ne dedi?
Endişelenmeli miyiz?,Endişeli olmamız gerekiyor mu?
Biz ABD'ye hayır diyebilir miyiz?,"Biz Amerika Birleşik Devletleri'ne ""Hayır"" diyebilir miyiz?"
İçeri gelmiyor musun?,İçeri girmek ister misiniz?
Kitabı okumayı bitirdin mi?,Kitabı bu kadar çabuk mu okudun?
Bütün diğerleri nerede?,Diğerleri nerede?
Onlar kimi seçecekler?,Hangisini seçecekler?
Bu neden bir fark yaratıyor?,Ne önemi var ki?
Biraz daha kalamaz mısın?,Sadece biraz daha uzun kalamaz mısın?
Çiçekleri ne zamandır önemsiyorsun?,Çiçeklere ne zamandır özen gösteriyorsun?
Herhangi biriniz incinmiş mi?,Yaralı var mı?
Onu neden söyledik?,Onu niçin söyledin?
Herhangi bir kimliğiniz var mı?,Kimliğin var mı?
Acele et yoksa uçağını kaçıracaksın?,Acele edin yoksa uçağınızı kaçıracaksınız?
Ne zaman gideceğiz?,Ne zaman çıkacaksın?
Bu cuma dersleriniz var mı?,Bu cuma derslerimiz var mı?
Bir fincan çay ister misiniz?,Kahve istiyor musunuz?
Çiçeklerle ilgilenir misin?,Çiçeklerle ilgilenir misiniz?
Neden kimse ona yardım etmiyor?,Neden kimse sana yardım etmiyor?
Ne zaman yemek yemeye başlayacağız?,Yemeye ne zaman başlayacağız?
Hiç daha önce Boston'a gittin mi?,Daha önce hiç Boston'a gittin mi?
Neden o burada değil?,O neden burada değil?
Ne zaman ona söylemeliyiz?,Ne zaman onlara söylememiz gerekiyor?
Bir yürüyüşe ne dersiniz?,Yürüyüşe gitmek ister misin?
İstasyona nasıl gideceğimi bana söyleyebilir misiniz?,Otobüs nerede duruyor?
Biz ne zaman başlarız?,Nereden başlarız?
Sahil açık mı?,Asayiş berkemal mi?
Hâlâ buluşmamızı istiyor musunuz?,Hâlâ buluşmamızı istiyor musun?
Bizi bırakabilir misin?,Beni de birlikte götürür müsün?
Ne zaman çıkacaksın?,"O, tekrar ne zaman eve gelecek?"
Onu ne kadar zamandır tanıyorsun?,Uzun süredir onu tanıyor musun?
Bu mektubu kim yazdı?,Bu kimin mektubu?
Henüz akşam yemeğini yedin mi?,Öğle yemeğinizi henüz yediniz mi?
Bana tren istasyonuna giden yolu gösterir misin?,Bana istasyona giden yolu söyleyebilir misin?
Yeni misin?,Bu yeni mi?
Tom'un nesi vardı?,Tom'a ne oldu?
Kent merkezine ulaşmak için hangi otobüs veya trene binebileceğimi bana söyleyebilir misin?,Şehir merkezine hangi tren veya otobüs gidiyor bana söyleyebilir misiniz?
Nerede başlayalım?,"O, tekrar ne zaman eve gelecek?"
Paramı geri alabilir miyim?,"Paramı geri alabilir miyim, lütfen?"
Sınıfında arkadaşların var mı?,Sınıfta iyi anlaştığın insanlar var mı?
Kahveyi sever misin?,Kahveden hoşlanır mısın?
Onun hakkında hiç düşündün mü?,Hiç onu düşündün mü?
"Tom dışa dönük, değil mi?","Tom cana yakın, değil mi?"
Onun favori rengi nedir?,Onun en sevdiği renk nedir?
Bugün ne zaman uyandın?,Saat kaçta kalktın?
Onda para ne arar?,Onda para ne gezer?
Bana bir iyilikte bulunup doktor çağırabilir misin?,Doktor çağıracak mısın?
Yemek yemeyi bitirdin mi?,Sen zaten yedin mi?
Bu konuyla ilgili bir görüşünüz var mı?,Bu konu hakkında bir fikrin var mı?
"O, ne zaman dönecek?",Ben nereye başlarım?
En sevdiğin hangisi?,Favorin hangisi?
Bana sözlüğünü ödünç verebilir misin?,Lütfen sözlüğünü bana ödünç verir misin?
Tom ne zaman varıyor?,Tom ne zaman geliyor?
Bunda abartacak ne var?,Bu kadar önemli olan ne?
İsviçre'de hangi dil konuşulur?,İsviçre'de hangi dili konuşuyorlar?
Burada olmamızın nedeni ne?,Biz neden varız?
Nereden başlarız?,Ne zaman ulaşırsın?
Benim hakkımda düşünüyor musun?,Beni düşünüyor muydun?
Biraz kahve alır mısın?,Bir fincan çay içmek ister misin?
Bana mı gönderme yapıyorsun?,Benimle konuşuyor musun?
Nerede aramaya başlayacağız?,Ne zaman çıkacaksın?
Kütüphaneye giden yolu bana söyleyebilir misiniz?,Kütüphane yolunu bana söyler misiniz?
Bu işe burnunu sokmasan olur mu acaba?,Bunun dışında kalır mısın?
Ne zaman mühendislik probleminizin üstesinden geldiniz?,Mühendislik probleminizi ne zaman hallettiniz?
Senin rumuzun ne?,Lakabınız ne?
Ne zaman gideceksin?,Nereden başlıyoruz?
Yalnız mı yaşıyorsun?,Kendi başına mı yaşıyorsun?
Çok ağrı içinde misin?,Çok ağrın mı var?
İyonsal bağ nedir?,İyon bağı nedir?
Ne zaman döneceksiniz?,Ne zaman geri geliyorsun?
Amerika izleniminiz nedir?,Birleşik Devletlerle ilgili izlenimin nedir?
Senin bir lakabın var mı?,Lakabın var mı?
Ne zaman geri döndü?,Genellikle saat kaçta eve dönersin?
Siz arkadaşlar Tom'u gördünüz mü?,Tom'u gördün mü?
Ne zaman eve gidiyorsun?,Ne zaman geri döndü?
O nasıldı?,Nasıl hissettirdi?
Bir şey kaçırmıyor musun?,Herhangi bir şeyi unutuyor muyum?
Veda etmeden nasıl gidebildin?,Hoşça kal demeden nasıl kapıdan çıkıp gidebildin?
Ne için İngilizce öğreniyorsunuz?,İngilizceyi ne için öğreniyorsun?
Ne zaman ayrılacaksın?,Saat kaçta ayrılacaksın?
Tom hangi mezarlıkta yatıyor?,Tom'u hangi mezarlığa defnettiler?
Onun yaşı nedir?,Yaşın kaç?
Sizi öyle düşündüren nedir?,Neden öyle düşünüyorsun?
Korkuyor musunuz?,Bundan korkuyor musun?
Biraz çaya ne dersin?,Bir fincan çay ister misiniz?
Biri Tom ile temasa geçti mi?,Biri Tom ile temas kurdu mu?
O saat çalışıyor mu?,O saat işliyor mu?
Aile adınızın yazılımı nasıl?,Soyadınız nasıl yazılıyor?
Ne söylediğini artık hatırlamıyor musun?,Öyleyse ne söylediğini bile hatırlayamıyor musun?
Ne zaman çıkacaksın?,Ne zaman gittin?
Sana ateş edildi mi?,Vuruldun mu?
Niçin öyle hızlısın?,Acele nedir?
Bu benimle ilgili mi?,Siz beyler benim hakkımda mı konuşuyorsunuz?
Demiryolu istasyonu nerede?,Bana istasyona giden yolu söyleyebilir misin?
Sigaran ve ateşin var mı?,Sigarayla çakmağın var mı?
Buna inanmamı istiyor musunuz?,Ona inanmamı istiyor musun?
"Bu arada, ölümden sonra herhangi bir şey var mı sence?",Bu arada sence ölümden sonra bir şey var mı?
Kahve istiyor musunuz?,Biraz kahveye ne dersin?
O ne zaman varır?,Ne zaman başlarız?
Masaj ister misiniz?,Masaj ister misin?
Bir bardak daha çay alır mısın?,Kahve istiyor musunuz?
Herhangi bir Japon gazeten var mı?,Japonca gazeteleriniz var mı?
"O, ne zaman geri geliyor?","O, ne zaman dönecek?"
Ne zaman geri dönüyorsun?,O saat kaçta başlar?
Nerede başlarım?,Nerede başlayalım?
Oynamaya hazır mısınız?,Çalmaya hazır mısınız?
"İngilizcede ""kaisha"" için kelime nedir?","Sen İngilizce ""kaisha"" nasıl söylersin?"
Kaç kişisiniz?,Onlardan kaç tane var?
Latince konuşuyor musunuz?,Latince biliyor musunuz?
Ne kadar zamanımız var?,Ne kadar daha zamanımız var?
Dinlenmeye ne dersin?,"Bir mola verelim, değil mi?"
Daha önce hiç ülke dışında bulundun mu?,Yabancı bir ülkeye gittin mi?
Yarın gece için planların var mı?,Yarın meşgul müsün?
Hangi tür müzikten hoşlanıyorsun?,Ne tür kitaplardan hoşlanırsın?
Neyle başlayayım?,Nerede başlayacağız?
Ya ailenizden ne haber?,Annenle babanın arası nasıl?
Evde kalacak mısın?,Şimdi evde misin?
Senin hiç kendine saygın yok mu?,Sizin hiç kendinize saygınız yok mu?
Niçin buraya oturmuyorsun?,Neden burada kalmıyorsunuz?
Uyandın mı?,Hâlâ uyumuyor musun?
"Ev ödevini bitirdin, değil mi?",Ev ödevin hazır mı?
En çok hangi konuları seversin?,En sevdiğin konu nedir?
Son kısmı daha net izah edebilir misiniz?,Son bölümü ayrıntılı olarak açıklar mısın?
Hangisini daha çok beğendin?,Onlardan hangisini tercih edersin?
Neden bunu yapmıyorsunuz?,Onu niçin yapmıyorsun?
Ne kadar bekledin?,Uzun süredir bekliyor musun?
Sen hiç şişmanladın mı?,Hiç hamile oldun mu?
Neden Tom senden korkuyor?,Tom senden neden korkuyor?
Tom'a ne dersin?,Tom ne giyer?
Bugün ne yaptın?,Bugün ne yapacaksın?
O saat kaçta başlar?,Ne zaman gideriz?
Her gün çalışır mısın?,Her gün koşuyor musunuz?
Niçin çok daha erken söylemedin?,Neden bana bundan daha önce bahsetmedin?
"Tom, sen misin?",Bu senin mi?
Bu gece bir sinemaya gitmek ister misin?,Bu akşam bir film izlemeye gitmek ister misin?
Ne zamandır Fransızca öğreniyorsun?,Fransızca öğrenmeye ne kadar süre önce başladın?
Eve ne zaman geliyorsun?,Nereden başlarız?
Neyde iyisin?,Esas branşın nedir?
"Zaten kahvaltı ettiniz, değil mi?",Bu sabah kahvaltı yaptın mı?
Genellikle eve varır varmaz televizyonu açar mısın?,Eve varır varmaz televizyon açma alışkanlığın var mı?
Böyle bir küçük düşürmeye nasıl katlanabilirsin?,O tür aşağılamaya nasıl katlanıyorsun?
Geri geliyor musun?,Geri dönecek misin?
Bana bir saniye izin verebilir misin?,"Bana bir dakika izin verir misin, lütfen?"
Biriyle çıkıyor musun?,Herhangi birini görebiliyor musun?
Oyunu kim kazandı?,Kim kazandı?
Kemanı kim çalıyor?,Kim piyano çalıyor?
Görevlerini bitirdin mi?,Ödevini bitirdin mi?
Tom nasıl bilir?,Tom nasıl biliyor?
Tom delirmiş mi?,Tom deli mi?
Bunu ödeyebilecek miyiz?,Bunu göze alabilir miyiz?
Tom'un nesi vardı?,Tom nedir?
Tom'u pozisyon için kim önerdi?,İş için Tom'u kim önerdi?
Kahve istiyor musunuz?,Çay alır mısınız?
Favori rol-yapma oyununuz hangisidir?,Gözde rol yapma oyununuz hangisi?
Eve ne zaman gideceksin?,Biz ne zaman başlarız?
Ne tür bir adam Tom?,Tom'la nasıl gidiyor?
"Tom'a soracaksın, değil mi?","Tom'a rica edeceksin, değil mi?"
Senin köpeğinin adı nedir?,Köpeğinin adı ne?
Bir dilim tart daha alır mısın?,Sen başka bir kek dilimi mi istiyorsun?
Hayaletler gerçekten var mıdır?,Hayaletler gerçekten var mı?
Onun yeni şarkısını dinledin mi?,Onun yeni parçasını dinledin mi?
O iyi uyudu mu?,Yeterince uyuyor musun?
Canın yüzmeye gitmek istiyor mu?,Yüzmeye gitmek istiyor musun?
Neden bunun tadına bakmıyorsun?,Bunu niçin denemiyorsun?
O Tom mu?,O senin mi?
Onu ne için istiyorsun?,Buna ne için ihtiyacın var?
Ne zaman gidiyor olacaksın?,"O, ne zaman dönecek?"
Oy verdin mi?,Daha seçtin mi?
Bunun ne anlama geldiğini düşünüyorsun?,Bunun ne demek olduğunu düşünüyorsun?
Senin için ne zaman iyi?,Ne zaman sizin için iyi bir zamandır?
Ben nereye başlarım?,Nereden başlarız?
Ne zaman gidiyoruz?,Saat kaçta ayrılacaksın?
Boston uzakta mı?,Buradan Boston'a uzak mı?
Fransızca nerede konuşuluyor?,Fransızcayı nerede konuşuyorsun?
Neden onlara ihtiyaç duyuyorsun?,Onu ne için istiyorsun?
Kimse Tom ile iletişime geçti mi?,Biri Tom ile temasa geçti mi?
Ne zaman gideriz?,O ne zaman eve dönecek?
Ne kadar zamandır yoktunuz?,Ne kadardır yoktun?
Daha önce akşam yemeğinizi yediniz mi?,Sabah kahvaltısını henüz bitirdin mi?
"Sahiden mi? Adam, şaka yapıyorsun değil mi?","Gerçekten mi! Dostum, benimle kafa mı buluyorsun sen?"
"O, o dükkânda ne satın aldı?","O, dükkânda ne aldı?"
Ne giyeceğim?,Ne giymemi istiyorsunuz?
Bu sınalga kimindir?,Bu kimin kamerasıdır?
Tom'u nasıl tanıyorsun?,Tom'la ilk kez nasıl tanıştınız?
Tom'un onu yapmamıza izin vereceğini düşünüyor musun?,Sence Tom onu yapmamıza izin verecek mi?
"Tom'un notları hep pekiyi, değil mi?","Tom hep A alan bir öğrenci, değil mi?"
Öğle yemeğini ne zaman yiyorsun?,Akşam yemeği saat kaçta servis ediliyor?
Bu deprem miydi?,Deprem mi oldu?
Ne zaman eve gidecek?,Ben nereye başlarım?
O henüz burada mı?,Henüz geldi mi?
Biletleri nereden alacağımı bana söyleyebilir misiniz?,Biletleri nerede alabilirsin?
Uçağın saat kaçta kalkacak?,Senin uçağın saat kaçta kalkması planlanmıştır?
Sen hangi gazeteyi okuyorsun?,Hangi gazeteyi okuyorsunuz?
O sevimli değil mi?,O tatlı değil mi?
Sen ve Tom arkadaş mısınız?,"Tom senin bir arkadaşın, değil mi?"
Onun önerisi hakkında ne düşünüyorsunuz?,Onun teklifi hakkında ne düşünüyorsun?
Parayla ne yapmayı düşünüyorsunuz?,Bu paraya niçin ihtiyacın var?
Tom'la gidemez miyiz?,Tom ile gidemez miyiz?
Birini mi arıyorsun?,Birisini mi arıyorsunuz?
Kime oy verdin?,Kimin için oy kullanıyorsun ?
Ne zaman ayrılıyorsunuz?,Ne zaman ulaşırsın?
Tom'un geleceğini düşünüyor musun?,Sence Tom gelecek mi?
Kore'de hangi dilleri konuşurlar?,Kore'de hangi dil konuşulur?
Şu mektupları benim için gönderebilir misin?,Benim için bu mektubu postalar mısın?
Se ne zaman gidiyorsun?,Nerede aramaya başlayacağız?
Arapça konuşur musunuz?,Arapça konuşur musun?
Bunun hepsi gerekli mi?,Bütün bu gerekli mi?
Onları nerede parçaladın?,Onları nerede dokudun?
Kaç yıldır Fransızca eğitimi görüyorsun?,Fransızca öğrenmeye ne kadar süre önce başladın?
Sinemaya gitmeye ne dersin?,Niçin gidip bir film izlemiyoruz?
John nerede oturuyor?,John nerede ikamet ediyor?
Sen tarafsız mısın?,Objektif misin?
İngilizce çalışır mısın?,İngilizce okuyor musun?
Ne zaman kapanır?,Saat kaçta kapanıyorsunuz?
Niçin öyle hızlısın?,Niçin acele ediyorsun?
Lütfen bunu tamir eder misin?,Bunu tamir edebilir misiniz?
Bir şey unutmuyor musunuz?,Bir şey unuttun mu?
Bay Burns'le mi yoksa Bay Roland'la mı aynı fikirdesin?,"Kimle aynı fikirdesin, Bay Burns mü yoksa Bay Roland mı?"
İkiniz de Tom'u tanıyor musunuz?,Herhangi biriniz Tom'u tanıyor mu?
Acele nedir?,Neden çok yoğunsun?
Fransızca çalışıyor musun?,Fransızca öğreniyor musun?
O kuşa ne denir?,Şu kuşun adı ne?
Ne kadar hatırlıyorsun?,Ne hatırlıyorsun?
Kimin borusu ötüyor?,Kim amir?
Uyudun mu?,Hâlâ uyanık mısın?
Hafta sonunda ne yapıyor olacaksın?,Hafta sonun için planların nedir?
Mavi kutu sende mi?,Mavi kutuyu aldın mı?
